cv_number,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,base_score,base_severity
CVE-2024-32292,2024-04-17T15:31Z,2024-04-17T14:15Z,,,,,,
CVE-2024-32293,2024-04-17T15:31Z,2024-04-17T14:15Z,,,,,,
CVE-2024-32299,2024-04-17T15:31Z,2024-04-17T14:15Z,,,,,,
CVE-2024-32301,2024-04-17T15:31Z,2024-04-17T13:15Z,,,,,,
CVE-2024-32302,2024-04-17T15:31Z,2024-04-17T14:15Z,,,,,,
CVE-2024-32303,2024-04-17T16:51Z,2024-04-17T16:15Z,,,,,,
CVE-2024-32305,2024-04-17T16:51Z,2024-04-17T16:15Z,,,,,,
CVE-2024-32306,2024-04-17T15:31Z,2024-04-17T14:15Z,,,,,,
CVE-2024-32307,2024-04-17T15:31Z,2024-04-17T13:15Z,,,,,,
CVE-2024-32310,2024-04-17T15:31Z,2024-04-17T13:15Z,,,,,,
CVE-2024-32311,2024-04-17T15:31Z,2024-04-17T14:15Z,,,,,,
CVE-2024-32312,2024-04-17T15:31Z,2024-04-17T13:15Z,,,,,,
CVE-2024-32313,2024-04-17T15:31Z,2024-04-17T13:15Z,,,,,,
CVE-2024-32314,2024-04-17T16:51Z,2024-04-17T16:15Z,,,,,,
CVE-2024-32315,2024-04-17T15:31Z,2024-04-17T14:15Z,,,,,,
CVE-2024-32316,2024-04-17T16:51Z,2024-04-17T16:15Z,,,,,,
CVE-2024-32317,2024-04-17T16:51Z,2024-04-17T16:15Z,,,,,,
CVE-2024-32318,2024-04-17T16:51Z,2024-04-17T16:15Z,,,,,,
CVE-2024-32320,2024-04-17T16:51Z,2024-04-17T16:15Z,,,,,,
CVE-2024-32324,2024-04-26T12:58Z,2024-04-25T20:15Z,,,,,,
CVE-2024-32325,2024-04-18T18:25Z,2024-04-18T17:15Z,,,,,,
CVE-2024-32326,2024-04-18T18:25Z,2024-04-18T17:15Z,,,,,,
CVE-2024-32327,2024-04-18T18:25Z,2024-04-18T17:15Z,,,,,,
CVE-2024-3233,2024-05-02T18:00Z,2024-05-02T17:15Z,,,,,4.3,MEDIUM
CVE-2024-32332,2024-04-18T18:25Z,2024-04-18T17:15Z,,,,,,
CVE-2024-32333,2024-04-18T18:25Z,2024-04-18T17:15Z,,,,,,
CVE-2024-32334,2024-04-18T18:25Z,2024-04-18T17:15Z,,,,,,
CVE-2024-32335,2024-04-18T18:25Z,2024-04-18T17:15Z,,,,,,
CVE-2024-32337,2024-04-18T13:04Z,2024-04-17T21:15Z,,,,,,
CVE-2024-32338,2024-04-18T13:04Z,2024-04-17T21:15Z,,,,,,
CVE-2024-32339,2024-04-18T13:04Z,2024-04-17T21:15Z,,,,,,
